Date : 2026-01-27 14:07:57
Directory : /Users/tjarkgomolla/Development/Flutter/pixel_quest
Total : 190 files,  17078 codes, 2811 comments, 2963 blanks, all 22852 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Dart           |        118 |     11,883 |      2,533 |      2,574 |     16,990 |
| XML            |         23 |      3,424 |         53 |         25 |      3,502 |
| C++            |         16 |        547 |        131 |        189 |        867 |
| JSON           |          7 |        499 |          0 |          4 |        503 |
| CMake          |          8 |        463 |          0 |         92 |        555 |
| YAML           |          4 |         96 |         68 |         21 |        185 |
| Ruby           |          2 |         63 |          4 |         20 |         87 |
| Swift          |          6 |         59 |          7 |         21 |         87 |
| HTML           |          1 |         19 |         15 |          5 |         39 |
| Markdown       |          2 |         13 |          0 |          9 |         22 |
| Properties     |          2 |          8 |          0 |          2 |         10 |
| TypeScript JSX |          1 |          4 |          0 |          1 |          5 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        190 |     17,078 |      2,811 |      2,963 |     22,852 |
| . (Files)                                                                                                           |          5 |        106 |         68 |         28 |        202 |
| android                                                                                                             |          9 |         74 |         51 |         11 |        136 |
| android (Files)                                                                                                     |          1 |          3 |          0 |          1 |          4 |
| android/app                                                                                                         |          7 |         66 |         51 |          9 |        126 |
| android/app/src                                                                                                     |          7 |         66 |         51 |          9 |        126 |
| android/app/src/debug                                                                                               |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                |          5 |         60 |         43 |          7 |        110 |
| android/app/src/main (Files)                                                                                        |          1 |         34 |         11 |          1 |         46 |
| android/app/src/main/res                                                                                            |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                   |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                               |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                     |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                               |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                             |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                              |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                              |         17 |      3,209 |          0 |         14 |      3,223 |
| assets/data                                                                                                         |          3 |        251 |          0 |          0 |        251 |
| assets/tiles                                                                                                        |         14 |      2,958 |          0 |         14 |      2,972 |
| ios                                                                                                                 |          9 |        260 |          7 |         23 |        290 |
| ios (Files)                                                                                                         |          1 |         31 |          3 |         10 |         44 |
| ios/Runner                                                                                                          |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                                  |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                          |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                       |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                     |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                               |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                     |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                 |        118 |     11,883 |      2,533 |      2,574 |     16,990 |
| lib (Files)                                                                                                         |          2 |        170 |         19 |         35 |        224 |
| lib/data                                                                                                            |         11 |        869 |         96 |        212 |      1,177 |
| lib/data/audio                                                                                                      |          4 |        450 |         83 |        135 |        668 |
| lib/data/static                                                                                                     |          3 |        130 |          3 |         27 |        160 |
| lib/data/static (Files)                                                                                             |          1 |         23 |          3 |          7 |         33 |
| lib/data/static/metadata                                                                                            |          2 |        107 |          0 |         20 |        127 |
| lib/data/storage                                                                                                    |          4 |        289 |         10 |         50 |        349 |
| lib/data/storage (Files)                                                                                            |          1 |        173 |          9 |         27 |        209 |
| lib/data/storage/entities                                                                                           |          3 |        116 |          1 |         23 |        140 |
| lib/game                                                                                                            |         94 |     10,241 |      2,176 |      2,139 |     14,556 |
| lib/game (Files)                                                                                                    |          3 |        289 |         40 |         59 |        388 |
| lib/game/animations                                                                                                 |          2 |        184 |         45 |         42 |        271 |
| lib/game/checkpoints                                                                                                |          3 |        203 |         44 |         55 |        302 |
| lib/game/collision                                                                                                  |          3 |         96 |         45 |         28 |        169 |
| lib/game/enemies                                                                                                    |         13 |      1,860 |        294 |        414 |      2,568 |
| lib/game/events                                                                                                     |          2 |         93 |         61 |         26 |        180 |
| lib/game/hud                                                                                                        |          6 |        770 |        228 |        163 |      1,161 |
| lib/game/hud (Files)                                                                                                |          2 |        306 |         40 |         54 |        400 |
| lib/game/hud/mini map                                                                                               |          4 |        464 |        188 |        109 |        761 |
| lib/game/level                                                                                                      |         10 |      1,864 |        323 |        375 |      2,562 |
| lib/game/level (Files)                                                                                              |          1 |        690 |         98 |         96 |        884 |
| lib/game/level/loading                                                                                              |          2 |        297 |         50 |         79 |        426 |
| lib/game/level/mobile controls                                                                                      |          3 |        200 |         24 |         41 |        265 |
| lib/game/level/player                                                                                               |          4 |        677 |        151 |        159 |        987 |
| lib/game/menu                                                                                                       |          8 |      1,166 |        152 |        207 |      1,525 |
| lib/game/menu (Files)                                                                                               |          1 |        249 |         26 |         44 |        319 |
