Date : 2025-12-08 03:52:31
Directory : /Users/tjarkgomolla/Development/Flutter/pixel_adventure
Total : 167 files,  13828 codes, 1603 comments, 2225 blanks, all 17656 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Dart           |         96 |      8,688 |      1,325 |      1,837 |     11,850 |
| XML            |         23 |      3,395 |         53 |         25 |      3,473 |
| C++            |         16 |        540 |        131 |        189 |        860 |
| JSON           |          7 |        499 |          0 |          4 |        503 |
| CMake          |          8 |        461 |          0 |         92 |        553 |
| YAML           |          3 |         83 |         68 |         20 |        171 |
| Ruby           |          2 |         63 |          4 |         20 |         87 |
| Swift          |          6 |         55 |          7 |         21 |         83 |
| HTML           |          1 |         19 |         15 |          5 |         39 |
| Markdown       |          2 |         13 |          0 |          9 |         22 |
| Properties     |          2 |          8 |          0 |          2 |         10 |
| TypeScript JSX |          1 |          4 |          0 |          1 |          5 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        167 |     13,828 |      1,603 |      2,225 |     17,656 |
| . (Files)                                                                                                             |          4 |         93 |         68 |         27 |        188 |
| android                                                                                                               |          9 |         74 |         51 |         11 |        136 |
| android (Files)                                                                                                       |          1 |          3 |          0 |          1 |          4 |
| android/app                                                                                                           |          7 |         66 |         51 |          9 |        126 |
| android/app/src                                                                                                       |          7 |         66 |         51 |          9 |        126 |
| android/app/src/debug                                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                  |          5 |         60 |         43 |          7 |        110 |
| android/app/src/main (Files)                                                                                          |          1 |         34 |         11 |          1 |         46 |
| android/app/src/main/res                                                                                              |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                       |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                               |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                |         17 |      3,180 |          0 |         14 |      3,194 |
| assets/data                                                                                                           |          3 |        251 |          0 |          0 |        251 |
| assets/tiles                                                                                                          |         14 |      2,929 |          0 |         14 |      2,943 |
| ios                                                                                                                   |          9 |        260 |          7 |         23 |        290 |
| ios (Files)                                                                                                           |          1 |         31 |          3 |         10 |         44 |
| ios/Runner                                                                                                            |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                                    |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                            |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                         |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                       |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                 |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                       |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                   |         96 |      8,688 |      1,325 |      1,837 |     11,850 |
| lib (Files)                                                                                                           |          5 |        307 |         38 |         67 |        412 |
| lib/data                                                                                                              |          8 |        394 |         10 |         81 |        485 |
| lib/data/static                                                                                                       |          4 |        160 |          3 |         32 |        195 |
| lib/data/static (Files)                                                                                               |          1 |         29 |          3 |          7 |         39 |
| lib/data/static/metadata                                                                                              |          3 |        131 |          0 |         25 |        156 |
| lib/data/storage                                                                                                      |          4 |        234 |          7 |         49 |        290 |
| lib/data/storage (Files)                                                                                              |          1 |        144 |          7 |         27 |        178 |
| lib/data/storage/entities                                                                                             |          3 |         90 |          0 |         22 |        112 |
| lib/extensions                                                                                                        |          2 |         16 |          0 |          5 |         21 |
| lib/game                                                                                                              |         68 |      6,773 |      1,174 |      1,468 |      9,415 |
| lib/game/animations                                                                                                   |          2 |        192 |         22 |         50 |        264 |
| lib/game/checkpoints                                                                                                  |          3 |        197 |         32 |         52 |        281 |
| lib/game/collision                                                                                                    |          3 |        100 |         16 |         25 |        141 |
| lib/game/enemies                                                                                                      |         13 |      1,747 |        224 |        390 |      2,361 |
| lib/game/hud                                                                                                          |          5 |        639 |        130 |        146 |        915 |
| lib/game/level                                                                                                        |          8 |      1,517 |        171 |        280 |      1,968 |
| lib/game/traps                                                                                                        |         17 |      1,657 |        307 |        366 |      2,330 |
| lib/game/utils                                                                                                        |         17 |        724 |        272 |        159 |      1,155 |
| lib/menu                                                                                                              |          8 |        900 |         93 |        179 |      1,172 |
| lib/menu (Files)                                                                                                      |          1 |        202 |          7 |         30 |        239 |
| lib/menu/widgets                                                                                                      |          7 |        698 |         86 |        149 |        933 |
| lib/splash                                                                                                            |          5 |        298 |         10 |         37 |        345 |
| lib/splash (Files)                                                                                                    |          1 |         60 |          5 |          7 |         72 |
| lib/splash/widgets                                                                                                    |          4 |        238 |          5 |         30 |        273 |
| linux                                                                                                                 |          9 |        325 |         37 |         92 |        454 |
| linux (Files)                                                                                                         |          1 |        104 |          0 |         25 |        129 |
| linux/flutter                                                                                                         |          4 |        105 |          9 |         27 |        141 |
| linux/runner                                                                                                          |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                                 |          7 |        479 |          6 |         27 |        512 |
| macos (Files)                                                                                                         |          1 |         32 |          1 |         10 |         43 |
